"cc_iso3c","dqa_cap_dqi","dqa_crm_dqi","dqa_dig_dqi","dqa_ffm_dqi","dqa_hrm_dqi","dqa_inc_dqi","dqa_int_dqi","dqa_opn_dqi","dqa_pol_dqi","dqa_pro_dqi","dqa_reg_dqi","dqa_tax_dqi","dqa_overall","dqa_fimp","dqa_avl_smpl"
"CMR",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2354590180776451,5,0.33620689655172414
"COD",0,0.5093589757089744,0,0.6074074074074074,0,0,0.04133986953104575,0.19722222359722225,0,0,0,0.21296296296296297,0.13069095326730107,7,0.13793103448275862
"COG",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"COL",0,0.8547008567008547,0,0.6074074074074074,0.6728395061728395,0.7222222284722224,0.48864379184967316,0.7527777808611111,0,0.4444444444444444,0.6240740740740741,0.4907407407407407,0.4714875692269473,3,0.5689655172413793
"COM",0,0,0,0.4722222222222222,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.0661265432966821,9,0.04310344827586207
"CPV",0,0.5093589757089744,0,0.4388888888888889,0,0,0.10228758219934642,0.10833333437500002,0,0,0,0.21296296296296297,0.11431931201126438,7,0.12931034482758622
"CRI",0,0.34534188099188035,0,0.6074074074074074,0.6728395061728395,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0.4444444444444444,0.6240740740740741,0.8518518518518519,0.4172898983050529,3,0.48275862068965514
"CUB",0,0,0,0.3037037037037037,0.24074074074074073,0,0,0.10833333437500002,0,0,0,0,0.0543981482349537,9,0.06034482758620689
"CUW",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"CYP",0.3125,0,0.5811965811965811,0.4388888888888889,0.29259259259259257,0.3750000031250001,0.46307189642483665,0.2833333354166667,1,0.2777777777777778,0.33888888888888885,0.8518518518518519,0.43459181801359037,1,0.6379310344827586
"CZE",0.3333333333333333,0.5093589757089744,0.5811965811965811,0.8888888888888888,0.6728395061728395,0.3750000031250001,0.5290849683202614,0.9277777819027778,1,0.2777777777777778,0.962962962962963,0.8518518518518519,0.6591727192701041,0,0.9051724137931034
"DEU",0.3333333333333333,0.8547008567008547,0.5811965811965811,0.8888888888888888,0.6728395061728395,0.5486111157986112,0.5686274519803922,0.9277777819027778,1,0.7222222222222222,0.962962962962963,0.35185185185185186,0.7010843794176097,0,0.9568965517241379
"DJI",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"DMA",0,0,0,0.3037037037037037,0,0,0,0.48611111319444444,0,0,0,0.21296296296296297,0.08356481498842593,9,0.06896551724137931
"DNK",0.3333333333333333,0.791965813765812,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.4021241837565359,0.8388888926805557,1,0.7222222222222222,0.962962962962963,0.7314814814814814,0.7066339647012431,0,0.9310344827586207
"DOM",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2569867961158396,5,0.35344827586206895
"DZA",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.10833333437500002,0,0,0,0.21296296296296297,0.16824391836810096,6,0.23275862068965517
"ECU",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.3919934650522876,0.5750000024166667,0,0,0,0.21296296296296297,0.247026284105491,5,0.33620689655172414
"EGY",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.24957938868065438,5,0.3448275862068966
"ERI",0,0,0,0.3037037037037037,0.29259259259259257,0.11666666666666667,0.320343137754902,0.10833333437500002,0,0,0,0.21296296296296297,0.112883533171319,6,0.1810344827586207
"ESH",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ESP",0.3125,0.8547008567008547,0.5811965811965811,0.7296296296296296,0.6728395061728395,0.7222222284722224,0.5454248376013072,0.8388888926805557,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.7328699641242523,0,0.9655172413793103
"EST",0.3333333333333333,0.34534188099188035,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.5486111157986112,0.5686274519803922,0.8388888926805557,1,0.7222222222222222,0.962962962962963,0.7314814814814814,0.6688229832659358,0,0.896551724137931
"ETH",0,0.5093589757089744,0,0.4388888888888889,0.29259259259259257,0.11666666666666667,0.3616830072859477,0.5750000024166667,0,0,0,0.21296296296296297,0.208929424710225,5,0.3103448275862069
"FIN",0.3333333333333333,0.8547008567008547,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.4844771249330065,0.9277777819027778,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.7361629016765853,0,0.9741379310344828
"FJI",0,0.5093589757089744,0,0.4722222222222222,0.29259259259259257,0.11666666666666667,0.320343137754902,0.10833333437500002,0,0,0,0.21296296296296297,0.1693733243569434,5,0.25862068965517243
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"FRA",0.3125,0.8547008567008547,0.5811965811965811,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.9277777819027778,1,0.2777777777777778,0.962962962962963,0.8518518518518519,0.7184454906589292,0,0.9655172413793103
"FRO",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"FSM",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"GAB",0,0.5093589757089744,0,0.3037037037037037,0,0,0.06094771266830065,0.10833333437500002,0,0,0,0.21296296296296297,0.09960889078491181,7,0.11206896551724138
"GBR",0.3333333333333333,0.8547008567008547,0.5811965811965811,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.9277777819027778,1,0.7222222222222222,0.962962962962963,0.8518518518518519,0.7572186388070773,0,1
"GEO",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.5750000024166667,0,0,0,0.21296296296296297,0.24957938868065438,5,0.3448275862068966
"GGY",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"GHA",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2569867961158396,5,0.35344827586206895
"GIB",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"GIN",0,0.5093589757089744,0,0.4388888888888889,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.10833333437500002,0,0,0,0.21296296296296297,0.17511951176244447,5,0.27586206896551724
"GLP",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"GMB",0,0.5093589757089744,0,0.4388888888888889,0,0,0.04133986953104575,0.10833333437500002,0,0,0,0.21296296296296297,0.10924033595557266,7,0.12068965517241378
"GNB",0,0.5093589757089744,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.09452991472922008,8,0.10344827586206896
"GNQ",0,0,0,0.4722222222222222,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.0661265432966821,9,0.04310344827586207
"GRC",0.3333333333333333,0.8547008567008547,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.5058823539411765,0.9277777819027778,1,0.5740740740740741,0.962962962962963,0.4907407407407407,0.6955083991556611,0,0.939655172413793
"GRD",0,0,0,0.3037037037037037,0,0,0,0.48611111319444444,0,0,0,0.21296296296296297,0.08356481498842593,9,0.06896551724137931
"GRL",0,0,0,0,0,0,0.06094771266830065,0,0,0,0,0,0.005078976055691721,11,0.008620689655172414
"GTM",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2569867961158396,5,0.35344827586206895
"GUF",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"GUY",0,0,0,0.3037037037037037,0.29259259259259257,0.11666666666666667,0.1573529416764706,0.5750000024166667,0,0,0,0.21296296296296297,0.13818990583492194,6,0.1724137931034483
"HKG",0,0,0,0.4388888888888889,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.4666666680416667,0,0,0,0.7314814814814814,0.2272716961736565,6,0.29310344827586204
"HMD",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"HND",0,0,0,0.6074074074074074,0,0,0.10228758219934642,0.48611111319444444,0,0,0,0.21296296296296297,0.11739742214701343,8,0.10344827586206896
"HRV",0,0.5093589757089744,0.5811965811965811,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.46307189642483665,0.8388888926805557,1,0.2777777777777778,0.33888888888888885,0.7314814814814814,0.5013053747736747,1,0.646551724137931
